Diagnosis,Specialist,DxGroup
GASTROENTERITIS,Gastroenterologist,Gastroenteritis
GASTROESOPHAGEAL REFLUX DISEASE (GERD),Gastroenterologist,GERD
MIGRAINE,Neurologist,Migraine
GASTRITIS,Gastroenterologist,Gastritis 
ALLERGIC RHINITIS,Otolaryngologist,AllergicRhinitis
HORMONAL IMBALANCE,Endocrinologist,EndocrinologyOther
COMMON COLD,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
CONTACT DERMATITIS,Dermatologist,ContactDermatitis
URINARY TRACT INFECTION (UTI),InfectiousDiseaseSpecialist,UTIs
SINUSITIS,Otolaryngologist,Sinusitis
INFLUENZA,InfectiousDiseaseSpecialist,Influenza
POLYCYSTIC OVARY SYNDROME (PCOS),Gynecologist,PolycysticOvarySyndrome
URINARY TRACT INFECTION,InfectiousDiseaseSpecialist,UTIs
PREGNANCY,Obstetrician,PregnancyConditions
HYPOTHYROIDISM,Endocrinologist,ThyroidDisorders
IRRITABLE BOWEL SYNDROME,Gastroenterologist,IBS
ALLERGIC REACTION,Allergist,AllergicReaction
TENSION HEADACHE,Neurologist,HeadacheOther
IRRITABLE BOWEL SYNDROME (IBS),Gastroenterologist,IBS
GENERALIZED ANXIETY DISORDER,Psychiatrist,GeneralizedAnxietyDisorder
PHARYNGITIS,Otolaryngologist,Pharygitis
ASTHMA,Pulmonologist,Asthma
TONSILLITIS,Otolaryngologist,Tonsillitis
ANXIETY DISORDER,Psychiatrist,AnxietyDisorders
COSTOCHONDRITIS,Orthopedist,OrthopedicConditionsOther
DEHYDRATION,Generalist,Generalist
ENDOMETRIOSIS,Gynecologist,Endometriosis
FOOD POISONING,Gastroenterologist,Gastroenteritis
YEAST INFECTION,Gynecologist,VaginalInfections
PEPTIC ULCER DISEASE,Gastroenterologist,PepticUlcers
MUSCLE STRAIN,Orthopedist,SprainsAndStrains
PERIPHERAL NEUROPATHY,Neurologist,Neuropathy
BRONCHITIS,Pulmonologist,Bronchitis
HYPERTHYROIDISM,Endocrinologist,ThyroidDisorders
MAJOR DEPRESSIVE DISORDER,Psychiatrist,Depression
BACTERIAL VAGINOSIS,Gynecologist,VaginalInfections
ECZEMA,Dermatologist,Eczema
CHRONIC FATIGUE SYNDROME,Rheumatologist,RheumatologyOther
KIDNEY STONES,Urologist,KidneyStones
DEPRESSION,Psychiatrist,Depression
RHEUMATOID ARTHRITIS,Rheumatologist,RheumatoidArthritis
HEMORRHOIDS,Gastroenterologist,Hemorrhoids
STREP THROAT,Otolaryngologist,Pharygitis
PNEUMONIA,Pulmonologist,Pneumonia
DIABETES,Endocrinologist,DiabetesMellitus
CELLULITIS,Dermatologist,SkinAndSoftTissueInfections
FOLLICULITIS,Dermatologist,SkinAndSoftTissueInfections
MENIERE'S DISEASE,Otolaryngologist,VertigoAndDizziness
UTERINE FIBROIDS,Gynecologist,UterineFibroids
OSTEOARTHRITIS,Rheumatologist,Osteoarthritis
FIBROMYALGIA,Rheumatologist,RheumatologyOther
PELVIC INFLAMMATORY DISEASE,Gynecologist,PelvicInfection
ACNE VULGARIS,Dermatologist,Acne
ORTHOSTATIC HYPOTENSION,CardiovascularSpecialist,Hypotension
COVID-19,InfectiousDiseaseSpecialist,COVID_19
PANIC DISORDER,Psychiatrist,AnxietyDisorders
DRY EYE SYNDROME,Ophthalmologist,SjogrensSyndrome
PROSTATITIS,Urologist,Prostatitis
GALLSTONES,Gastroenterologist,Gallstones
EPIDIDYMITIS,Urologist,UrologyMenOther
GASTROINTESTINAL BLEEDING,Gastroenterologist,GastrointestinalBleeding
PELVIC INFLAMMATORY DISEASE (PID),Gynecologist,PelvicInfection
ANXIETY OR PANIC DISORDER,Psychiatrist,AnxietyDisorders
ANEMIA,Hematologist,Anemia
CARPAL TUNNEL SYNDROME,Orthopedist,CarpalTunnelSyndrome
SEBORRHEIC DERMATITIS,Dermatologist,SeborrheicDermatitis
LARYNGITIS,Otolaryngologist,Laryngitis
PSORIASIS,Dermatologist,Psoriasis
IRON DEFICIENCY ANEMIA,Hematologist,Anemia
VIRAL INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
BALANITIS,Urologist,SkinInfections
SCIATICA,Orthopedist,BackPain
ACNE,Dermatologist,Acne
CLUSTER HEADACHE,Neurologist,HeadacheOther
ANGINA,CardiovascularSpecialist,CoronaryArteryDisease
VESTIBULAR MIGRAINE,Neurologist,Migraine
CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),Pulmonologist,ChronicObstructivePulmonaryDisease
INFLAMMATORY BOWEL DISEASE,Gastroenterologist,InflammatoryBowelDisease
ANAL FISSURE,Gastroenterologist,AnalandRectalConditions
CERVICAL RADICULOPATHY,Orthopedist,NeckPain
POSTNASAL DRIP,Otolaryngologist,NasalConditions
GENITAL HERPES,Dermatologist,SexuallyTransmittedInfections(STI)
LIPOMA,Dermatologist,DermatologyConditionsOther
OVARIAN CYST,Gynecologist,OvarianCysts
TEMPOROMANDIBULAR JOINT DISORDER (TMJ),Dentist,TemporomandibularJointDisordersDental
TRICHOMONIASIS,Gynecologist,SexuallyTransmittedInfections(STI)
SLEEP APNEA,Pulmonologist,SleepApnea
TELOGEN EFFLUVIUM,Dermatologist,Alopecia
MULTIPLE SCLEROSIS,Neurologist,MultipleSclerosis
ALLERGIC CONJUNCTIVITIS,Ophthalmologist,Conjunctivitis
POST-INFLAMMATORY HYPERPIGMENTATION,Dermatologist,DermatologyConditionsOther
HERNIATED DISC,Orthopedist,BackPain
