Chief Complaints,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,,,,,,
COVID,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Are you fighting to get air in or out of your lungs?,Do you have body aches?,Did you lose your sense of smell? ,Do you have a head ache? ,Do you feel exhauted?,Do you have a runny nose?,Did you run a home COVID test?,"If you ran a home Covid test, was it positive?",,,,,
Cold ,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Are you fighting to get air in or out of your lungs?,Do you have a runny nose?,Do you have a plugged up nose?,Do you have sinus pain? ,Do you have a sore throat?,Do you have itchy eyes? ,,,,,,,
Cough,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Are you fighting to get air in or out of your lungs?,Do you have wheezing? ,Did your symptoms first get better then get much worse?,Do you have body aches?,Did you lose your sense of smell? ,Do you have a head ache? ,Do you have chest pain when you breath in deeply?,Did you run a home COVID test?,Was your home COVID test positive?,,,,
Fever,Do you have a headache?,Do you have a cough?,Do you have a sore throat?,Do you have burning when you pee?,Do you have diarrhea?,Do you have belly or pelvic pain?,Do you have a rash?,Did you run a COVID home test?,Is you have a positive COVID home test result?,,,,,,,
Flu,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Do you have a sore throat?,Are you fighting to get air in or out of your lungs?,Do you have a headache?,Do you have body aches? ,Do you have belly pain?,Do you have a runny nose?,Did you run a COVID home test?,"If you ran a home Covid test, was it positive?",,,,,
Bronchitis,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Do you have a sore throat?,Are you fighting to get air in or out of your lungs?,Do you have body aches?,Do you have a runny nose,Do you have a plugged nose?,Did you run a COVID home test?,"If you ran a home Covid test, was it positive?",,,,,,
Difficulty breathing,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you coughing up lots of mucus?,Are you fighting to get air in or out of your lungs?,Do you have a diagnosis of heart failure ? ,Did this start suddenly ?,Do you have swelling in your legs or feet?,Have you had an operation in the past 6 weeks? ,Do you have chest pains? ,Do you have trouble breathing if you lie flat on your back? ,Are you wheezing when you breath?,Did you run a COVID home test?,"If you ran a home Covid test, was it positive?",,,
Asthma flare,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you wheezing?,Are you fighting to get air in or out of your lungs?,Are you coughing up thick mucus?,Are you fighting to get air in or out of your lungs?,Do you have chest pains when you take a deep breath? ,Do you have swelling in your legs or feet?,Does using inhalers help your symptoms right now?,Have you ever been given steroids for an asthma flare?,,,,,,
Pneumonia,Do you have a temperature of greater than 100.3 F?,Do you have a cough?,Are you wheezing? ,Are you coughing up thick mucus?,Did your symptoms first get better then got much worse?,Are you fighting to get air in or out of your lungs?,Does your chest hurt when you take a deep breath? ,Do you have chills?,Do you have swelling of your legs or feet?,Do you feel exhausted?,,,,,,
